nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp,sent,received
\\x82\\x0c\\x1c\\x9e\\x0c\\x1c\\x8e\\x0c\\x8e\\x90\\x8c\\x1cp\\xcc\\x1c\\xe2\\x0c\\x1c\\x90\\xfc,706454513639,706454514628
2,26,22,913,39,23,706454514202,706454515218
3,26,21,520,44,24,706454515164,706454516430
4,\x2\x6$21,487,34,25,706454517888,706454518950
5,26,23,969,36,26,706454519193,706454520548
1,28,23,1016,39,24,706454524155,706454524952
2,27,21,1252,39,23,706454524720,706454525737
3,27,22,515,44,24,706454525681,706454526947
4,27,22,448,34,25,706454528406,706454529473
5,27,23,714,36,26,706454529711,706454531061
1,29,20,1011,39,24,706454534673,706454535466
2,28,21,891,39,23,706454535237,706454536252
3,28,22,649,44,24,706454536199,706454537468
4,28,22,456,34,25,706454538924,706454539985
5,28,22,718,36,26,706454540228,706454541579
1,30,20,732,39,24,706454545189,706454545981
2,29,21,1275,39,23,706454545755,706454546774
3,29,22,656,43,24,706454546716,706454547981
4,29,22,508,33,25,7\x104474549441,706454550503
5,29,23,731,36,26,706454550746,706454552102
\\x82\\x0c\\x1c\\x82\\x0c\\x1c\\x8c\\x0c|\\xe2\\xcc\\x8ep\\xcc\\x1c\\xe2\\x0c\\x1c\\x90\\xfc,706454555711,706454556691
2,30,22,1272,39,23,706454556272,706454557287
3,30,21,520,43,24,706454557234,706454558504
4,30,21,468,33,25,706454559959,706454561021
5,30,23,725,36,26,706454561263,706454562614
1,32,21,994,39,24,706454566228,706454567018
2,31,21,897,39,24,706454566788,706454567800
3,31,21,650,43,24,706454567751,706454569016
4,31,22,469,33,25,\xa0786454570477,706454571542
5,31,23,988,36,26,706454571781,706454573130
1,33,23,728,39,24,706454576745,706454577537
2,32,21,1266,39,24,706454577306,706454578321
3,32,22,514,43,24,706454578269,706454579536
&4,32,22,491,34,25,7\x06454580995,706454582056
5,32,23,977,36,26,706454582299,706454583649
1,34,23,710,39,24,706454587263,706454588055
2,33,21,858,39,24,706454587823,706454588836
3,33,21,495,43,24,706454588787,706454590049
4,33,20,436,34,26,706454591513,706454592575
5,33,22,720,36,26,706454592816,706454594166
1,35,23,718,38,24,706454597780,706454598577
2,34,21,894,38,24,706454598341,706454599356
3,34,21,647,43,24,706454599304,706454600567
4,34,21,469,34,26,706454602030,706454603097
5,34,22,727,36,26,706454603334,706454604685
1,36,22,944,38,24,706454608298,706454609088
