nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp,sent,received
\\x8e\\x0c\\x1c\\x80\\x0c\\x1c\\x80\\x0cp\\xe0\\x0c\\x0c\\x8e\\xe2\\x0c\\x1c\\x8c\\xfc,706362228620,706362229395
4,20,20,389,38,24,706362229633,706362230072
5,20,21,110,44,23,706362230566,706362231790
6,20,18,534,44,23,706362232432,706362232793
7,20,21,175,43,22,706362233878,706362234341
\\x82\\x0c\\x1c\\x8e\\x0cp\\xe2\\x0c\\x1c\\x82L\\x0c\\x8e\\x82\\x0c\\x1c\\x8e\\xfc,706362236058,706362236376
2,21,19,194,43,22,706362237356,706362237758
3,21,19,162,50,22,706362239137,706362239741
4,21,21,395,38,24,706362240150,706362240583
5,21,21,99,44,23,706362241083,706362242309
6,21,20,538,44,23,706362242949,706362243310
7,21,22,177,43,22,706362244395,706362244861
\\x82\\x0c\\x1c\\x90\\x0c\\x1c\\x80\\x0c\\x8e\\x90\\x0c\\x0c\\x8e\\x82\\x0c\\x1c\\x8e\\xfc,706362246578,706362246913
2,22,19,89,43,22,706362247874,706362248274
3,22,19,182,50,22,706362249656,706362250260
4,22,19,404,38,24,706362250666,706362251101
5,22,21,112,45,23,706362251601,706362252827
6,22,19,544,43,23,706362253466,706362253831
7,22,21,178,43,22,706362254913,706362255381
2,23,20,203,43,22,706362258392,706362258789
3,23,20,183,50,22,706362260174,706362260777
4,23,20,290,38,24,706362261182,706362261620
5,23,21,114,45,23,706362262118,706362263346
6,23,19,549,43,23,706362263984,706362264344
7,23,21,180,43,22,706362265430,706362265897
1,26,19,324,41,23,706362267612,706362267764
2,24,21,97,43,22,706362268909,706362269307
3,24,20,85,50,22,706362270693,706362271297
4,24,21,422,38,24,706362271700,706362272134
5,24,21,103,45,23,706362272636,706362273861
6,24,19,551,44,23,706362274500,706362274859
7,24,20,182,43,22,706362275948,706362276416
1,27,20,454,41,23,706362278130,706362278279
2,25,20,104,43,22,706362279427,706362279823
3,25,19,186,50,22,706362281210,706362281812
4,25,19,427,39,24,706362282217,706362282652
5,25,20,102,44,23,706362283154,706362284379
6,25,20,422,43,23,706362285018,706362285380
7,25,21,184,43,22,706362286465,706362286932
1,28,20,334,41,23,706362288647,706362288795
2,26,21,111,43,22,706362289945,706362290348
\\x8e\\x0c\\x1c\\x9c\\x0cp\\xe2\\x0cp\\x9c\\x0c\\x0cr\\x80\\x0c\\x1c\\x8c\\xfc,706362291733,706362292499
4,26,20,431,38,24,706362292735,706362293167
5,26,21,118,44,23,706362293671,706362294900
6,26,20,432,44,23,706362295536,706362295892
7,26,21,186,43,22,706362296983,706362297454
1,29,20,461,41,23,706362299167,706362299316
2,27,20,109,43,22,706362300462,706362300860
3,27,20,188,50,22,706362302250,706362302850
4,27,21,441,39,24,706362303252,706362303684
5,27,21,118,45,23,706362304188,706362305410
6,27,19,434,44,23,706362306053,706362306412
7,27,21,100,44,22,706362307501,706362307969
1,30,19,465,41,23,706362309681,706362309830
2,28,20,234,43,22,706362310980,706362311382
3,28,20,169,49,22,706362312768,706362313369
4,28,20,317,39,24,706362313769,706362314208
5,28,20,120,45,24,706362314705,706362315929
6,28,18,441,45,23,706362316570,706362316930
7,28,20,187,44,22,706362318018,706362318485
1,31,20,469,42,23,706362320199,706362320344
2,29,20,122,43,22,706362321498,706362321893
3,29,20,171,49,22,706362323287,706362323887
5,29,21,122,46,23,706362325224,706362326450
6,29,19,444,44,23,706362327088,706362327448
7,29,20,189,44,22,706362328536,706362329004
1,32,19,345,41,23,706362330716,706362330863
