nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp,sent,received
4,28,21,80,32,23,706303430179,706303430358
5,26,21,27,36,22,706303431269,706303431749
7,27,21,37,33,22,7063034343850,706303434357
7,28,21,37,33,22,706303435892,706303436076
2,29,20,71,33,21,706303438557,706303438734
3,29,20,52,40,21,706303439868,706303440170
4,29,21,79,32,23,706303440697,706303440881
5,27,21,28,35,22,706303441787,706303442266
7,29,21,37,33,22,7063034449087,706303444874
2,30,20,76,33,21,706303449076,706303449243
3,30,20,52,40,21,706303450385,706303450681
4,30,20,79,32,23,706303451214,706303451394
5,28,21,27,35,22,706303452304,706303452784
7,30,21,36,33,22,7063034554264,706303455387
2,31,20,76,33,21,706303459594,706303459763
3,31,20,56,40,21,706303460904,706303461200
4,31,21,72,31,23,706303461731,706303461909
5,29,21,27,36,22,706303462822,706303463306
6,31,20,155,33,22,706303465812,706303465904
7,31,21,36,33,22,706303467446,706303467628
2,32,20,75,33,21,706303470112,706303470284
3,32,20,56,40,21,706303471421,706303471718
4,32,20,71,31,23,706303472248,706303472426
5,30,21,27,35,22,706303473339,706303473819
6,32,19,137,33,22,706303476329,706303476426
7,33,21,37,33,22,706303477969,706303478145
2,33,20,69,34,22,706303480631,706303480799
3,33,20,55,40,21,706303481939,706303482235
4,33,21,76,31,23,706303482765,706303482945
5,31,21,26,36,22,706303483857,706303484336
6,33,21,152,33,22,706303486847,706303486937
2,34,20,75,34,22,706303491148,706303491317
3,34,20,55,40,21,706303492456,706303492755
5,32,21,26,36,22,706303494374,706303494858
7,34,21,37,33,22,7063034974964,706303497455
7,35,21,37,33,22,706303499004,706303499181
2,35,21,69,34,22,706303501667,706303501833
3,35,20,50,39,21,706303502974,706303503267
4,35,21,70,31,23,706303503801,706303503981
5,33,21,27,35,22,706303504892,706303505368
6,35,19,132,33,22,706303507881,706303507975
7,36,21,35,33,22,706303509521,706303509702
2,36,20,68,34,22,706303512185,706303512357
3,36,20,50,39,21,706303513491,706303513792
4,36,20,80,31,23,706303514318,706303514500
5,34,21,26,35,22,706303515410,706303515887
6,36,19,131,33,22,706303518399,706303518493
2,37,20,73,34,22,706303522704,706303522871
3,37,20,50,39,21,706303524009,706303524303
4,37,22,69,31,23,706303524835,706303525018
7,37,21,35,33,22,7063035290486,706303529012
7,38,21,36,33,22,706303530556,706303530736
2,38,20,68,34,22,706303533223,706303533389
3,38,20,54,39,21,706303534526,706303534820
4,38,21,69,31,23,706303535352,706303535531
5,36,21,26,35,23,706303536444,706303536921
6,38,19,130,33,22,706303539433,706303539523
7,39,21,36,33,22,706303541073,706303541254
2,39,20,73,34,22,706303543741,706303543912
3,39,20,49,40,21,706303545044,706303545341
4,39,21,74,31,23,706303545870,706303546052
5,37,21,26,35,23,706303546962,706303547441
6,39,20,131,32,22,706303549950,706303550044
2,40,21,68,34,22,706303554261,706303554426
