algorithm,7 nodes,7 nodes (3fails),5 nodes,5 nodes (2fails),3 nodes,3 nodes (1fail)
RAFT,436.0934313889353,203.49819193324058,256.19359564671413,433.0545325779037,605.0440122824974,221.82796957284958
Paxos,509.5676978706308,625.3394194756554,434.86084959816304,1093.6734496124031,409.45969289827264,511.79932829555
No Algorithm,378.3465204957102,691.7508150908244,331.6350322202695,653.6856993190153,378.1615905245347,364.1972633979476
