nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp,sent,received
4,49,22,110,43,22,706631705\x82\x7f\x94,706631705960
5,29,23,468,45,22,706631706187,706631706802
1,37,23,650,39,23,706631707435,706631707561
1,38,22,792,39,23,706631708542,706631708668
3,51,21,443,44,23,706631708663,706631709161
1,39,21,790,39,23,706631709750,706631709876
7,38,23,252,40,22,706631710098,706631710484
2,56,22,635,39,23,706631710874,706631710992
1,40,22,792,39,23,706631711458,706631711586
3,53,22,463,44,22,706631711743,706631712020
4,55,21,189,43,22,706631712322,706631712831
1,41,21,644,39,23,706631713366,706631713492
4,56,22,187,43,22,706631713330,706631714002
1,42,23,790,39,23,706631714373,706631714500
2,59,21,630,39,23,706631715398,706631715507
\xf2LH\xa560,21,770,39,23,706631716407,706631716736
3,57,21,462,44,23,706631717510,706631718011
7,43,24,358,39,22,70663q?\x7\x3I\xf1\xaf,706631718323
6,45,22,408,44,22,7`\xcPwg\x05q417=,706631718747
7,44,23,349,39,22,70663\x1\x7\x151\x1\xac,706631719931
6,46,22,401,44,22,706631720082,706631720356
5,36,22,607,45,22,706631720245,706631720857
3,59,21,440,44,23,706631720926,706631721431
1,47,21,649,39,23,706631721812,706631721943
3,60,21,462,44,23,706631v7&;\x\x6,706631722730
4,65,21,118$\x4\x3\xdc\xed\x06v\xf0\x92\xf8\x82\xfc4\xf0n\x86e\x0c\xdf\xca\x12\x82,706631724073
2,65,22,636,39,23,706631724244,706631724570
4,66,22,112,43,22,706631724403,706631725081
1,50,23,649,39,23,706631725534,706631725661
4,67,22,187,43,22,706631725410,706631726087
5,39,22,603,45,22,706631726269,706631726685
3,63,21,464,44,23,706631726857,706631727358
6,51,24,397,44,22`%\xa0s\x0\xa7\x06\x04\x01\x01\x07\x0729,706631727995
4,7\xfa\xa80U\x8a\xc3>\xd9Tg\x8e\x04~\x9c&\xed*\x90\x96\\\xf9\x8e]\xde\xd1\xee\xf\xd4,706631728894
1,53,21,647,39,23,706631729657,706631729600
2,68,23,752,39,23,706631729768,706631730094
6,53,22,497,43,22,706631730837,706631731110
4,73,22,182,43,22,706631731453,706631732129
6,54,22,370,43,22,706631732845,706631732911
3,67,21,462,44,23,706631732988,706631733484
4,75,21,83,43,22,706631733468,706631734001
1,56,22,651,39,23,706\xe\x3\x99p\xcc\xfaZm5,706631734805
7,54,23,305,39,22,706631735623,706631735814
3,69,22,442,44,23,706631736203,706631736534
1,58,22,796,39,23,706631737396,706631737524
2,73,20,605,39,23,706631738308,706631738638
4,\x7\xf8hpC=\x16\x08r(psl\x8c\x18t\xa9}y_\xe2\xd7\x96\x8a\x94N\xff\xc318,706631738937
6,58,22,361,43,22,706631739176,706631739451
2,74,20,603,39,23,706631739615,706631739940
6,59,22,365,43,22,706631740884,706631740945
R\x1,61,23,651,39,2\x3}7\xa06631742019,706631742144
5,47,23,474,45,22,706631742335,706631742949
7,60,24,172,39,22,7\x90RxN\x91g8\xaf\xf6\x1a3,706631744058
5,48,23,474,45,22,706631744343,706631744954
2,78,23,604,39,23,706631746247,706631746574
3,76,22,441,44,23,706631746548,706631747232
2,79,23,741,38,23,706631747354,706631747678
\xa2A8l\x98^e\x11`z0\x84\xffD\x03\xa1\\Y\xfa\xec\x8aN!\x94\x08S[\x07\xa0\x9a\xf2\xd6\xdc\x17w,706631748234
1,66,24,652,39,23,706631749758,706631749890
2,81,21,600,39,23,706631749869,706631750200
5,51,21,471,43,22,706631750431,706631750704
1,67,22,792,39,23,706631750577,706631751256
2,82,22,597,39,23,706631751477,706631751802
4,91,21,179,43,22,706631751584,706631752101
1,68,21,656,39,23,706631752473,706631752599
4,92,22,178,43,22,706631752591,706631753110
1,69,23,654,39,23,706631753680,706631753807
6,67,24,469,43,22,706631754047,706631754320
5,53,22,475,45,22,70663175438<,706631754997
7,68,24,140,39,22,706631755030,706631755417
6,68,21,349,43,22,706631755855,706631756126
1,71,21,797,39,23,706631756295,706631756420
5,54,22,608,44,22,706631756392,706631757004
6,69,23,468,43,22,706631757262,706631757536
7,70,23,137,39,22,706631757445,706631757828
1,72,23,798,39,23,706631758003,706631758128
5,55,24,483,44,22,706631758400,706631759017
6,70,22,469,43,22,706631759271,706631759542
4,97,22,179,43,22,706631759630,706631760147
3,85,21,444,44,23,706631760327,706631760823
1,74,22,658,39,23,706631761119,706631761243
4,99,22,198,42,22,706631761644,706631762322
7,74,2\x3\xac24[\xf6\xc0\x10,\x0)\x07oyje,\xa4&\x8e.\xc3\x9\x9d\xf1\xce\x2,706631762833
1,76,22,825,39,23,706631764034,706631764159
7,75,23,240,39,23$1\x7\xa8\xa6\xf5\xe3\xa5\xa4\xf6\xa4W\xd2\xa8,706631764666
1,77,21,660,39,23,706631765042,706631765171
7,76,23,236,39,23,706631765590,706631765981
2,91,22,597,39,23,706631765948,706631766279
5,59,23,621,44,22,706631766433,706631766874
7,77,23,128,39,23,706631767198,706631767583
2,93,21,601,39,23,706631767962,706631768083
5,60,22,491,44,22,706631768441,706631768893
6,76,21,350,43,22,706631769418,706631769687
4,106,21,180,42,22,706631769695,706631770176
7,79,24,128,38,23,706631770214,706631770597
3,92,21,475,44,23,706631770881,706631771379
1,82,23,833,39,23,706631771980,706631772109
7,80,23,237,39,23\xa0\x7\x100\xa7\xa3\x0c44f\x2<\x8,706631772604
1,83,22,830,38,23,706631773087,706631773071
7,81,24,130,39,23,706631773330,706631773713
6,79,23,351,43,22,706631773942,706631774212
5,94,22,475,44,23,706631774297,706631774797
6,80,22,475,43,22,7066317753492,706631775411
3,112,21,199,42,22,706631775739,706631776420
1,86,22,661,39,23,706631776810,706631776940
7,83,23,241,39,23,706631777246,706631777629
7,84,23,128,39,23,706631778353,706631778737
1,88,23,667,38,23,706631779625,706631779551
7,85,23,132,38,23,706631780262,706631780441
2,102,21,598,38,23,706631780932,706631781104
7,86,24,348,38,23,706631781769,706631781961
4,117,22,77,42,22,706631781776,706631782459
5,67,23,636,44,22,706631782499,706631782972
3,100,21,481,44,23,706631783544,706631784043
4,119,22,184,42,22,\x7\xf4\xe5\x809\xe2\xccC\xefs%p,706631784468
5,68,22,500,44,22,706631784507,706631784978
7,89,23,240,38,23,706631785392,706631785775
1,92,22,844,38,23,706631786157,706631786080
2,105,22,743,38,23,706631786356,706631786681
5,69,22,504,44,22,706631786516,706631787129
6,89,23,362,42,22,706631787618,706631787896
2,106,22,744,38,23,706631788364,706631788503
5,70,22,501,44,22,706631788524,706631789136
2,107,22,747,38,23,706631789572,706631789897
6,91,23,485,42,22,706631790433,706631790511
5,71,23,634,44,22,706631790532,706631791004
4,126,21,197,42,22,706631790841,706631791523
3,105,21,488,44,23,706631791}8w,706631792085
5,72,24,500,44,22,706631792540,706631793019
1,97,22,667,38,23,706631793395,706631793524
7,95,23,142,38,23,706631793637,706631794025
\4,129,21,186,4\x03+\xc3\x97\x1e\xddw\x17\x8T\x8\xfd\x7$\x0\x9e\x88\xdd\xf3,706631794546
5,73,23,504,44,22,706631794548,706631795166
6,94,21,372,42,22,70c\x1eg\x94R\xff\xa0z\xd09,706631795626
1,99,22,667,38,23,706631796310,706631796435
5,74,22\x17^\x99|1a/2\x2@\xe1\xe0;j303\x01\x178&59:,706631797176
5,75,23,640,44,22,706631798565,706631799176
2,114,22,609,38,23,706631799425,706631799751
1,102,24,841,38,23,70663180063,706631800551
2,115,20,747,38,23,706631800732,706631801059
4,135,21,215,42,22,706631800907,706631801585
7,100,23,144,38,23,G\x19Q\xd\xce\ta~\x08\x8e\xaf\x0c,706631802158
5,77,23,502,44,22,706631802581,706631803192
7,101,23,258,38,23,\x00\x027\x0e9#.:\x8<\x6,706631803673
