nodeName,packetNumber,temperature,brightness,humidity,onBoardTemp
5,1,21,42,45,24
5,2,21,40,45,24
5,3,21,39,45,24
5,4,21,42,45,24
5,5,21,40,45,24
5,6,21,40,45,24
5,7,21,40,45,24
5,8,21,40,45,24
5,9,21,40,45,24
5,10,21,40,45,24
5,11,21,39,45,24
5,12,21,39,45,24
5,13,21,38,45,24
5,14,21,38,45,24
5,15,21,37,45,24
5,16,21,37,45,24
5,17,21,37,45,24
5,18,21,37,45,24
5,19,21,38,45,24
5,20,21,39,45,24
5,21,21,37,45,24
5,22,21,38,45,24
5,23,21,39,45,24
5,24,21,39,45,24
5,25,21,39,45,24
5,26,21,38,45,24
5,27,21,38,45,24
5,28,21,38,45,24
5,29,21,37,45,24
5,30,21,38,45,24
5,31,21,37,45,24
5,32,21,37,45,24
5,33,21,36,45,24
5,34,21,37,45,24
5,35,21,36,45,24
5,36,21,35,45,24
5,37,21,35,45,24
5,38,21,36,45,24
5,39,22,36,45,24
5,40,22,35,45,24
5,41,21,36,45,24
5,42,22,35,45,24
5,43,22,35,45,24
5,44,22,36,45,24
5,45,21,35,45,24
5,46,21,35,45,24
5,47,21,37,45,24
5,48,21,37,45,24
5,49,21,36,45,24
5,50,21,37,45,24
5,51,21,38,45,24
5,52,21,36,45,24
5,53,21,37,45,24
5,54,21,35,45,24
5,55,22,34,45,24
5,56,22,33,45,24
5,57,22,33,45,24
5,58,22,33,45,24
5,59,22,34,45,24
5,60,22,33,45,24
5,61,22,34,45,24
5,62,22,33,45,24
5,63,22,34,45,24
5,64,22,35,45,24
5,65,22,35,45,24
5,66,21,34,45,24
5,67,22,33,45,24
5,68,22,33,45,24
5,69,22,33,45,24
5,70,22,33,45,24
5,71,22,33,45,24
5,72,22,34,45,24
5,73,22,34,45,24
5,74,22,34,45,24
5,75,22,33,45,24
5,76,22,33,45,24
5,77,22,33,45,24
5,78,22,33,45,24
5,79,22,33,45,24
5,80,22,33,45,24
5,81,22,33,45,24
5,82,22,33,45,24
5,83,22,32,45,24
5,84,22,33,45,24
5,85,22,33,45,24
5,86,22,33,45,24
5,87,22,34,45,24
5,88,22,34,45,24
5,89,22,34,45,24
5,90,22,33,45,24
5,91,22,33,45,24
5,92,22,33,45,24
5,93,22,34,45,24
5,94,22,34,45,24
5,95,22,34,45,24
5,96,22,34,45,24
5,97,22,33,45,24
5,98,22,34,45,24
5,99,22,34,45,24
5,100,22,33,45,24
5,101,22,32,45,24
5,102,22,33,45,24
5,103,22,32,45,24
5,104,22,31,45,24
5,105,22,31,45,24
5,106,22,31,45,24
5,107,22,31,45,24
5,108,22,32,45,24
5,109,22,32,45,24
5,110,22,33,45,24
5,111,22,32,45,24
5,112,22,33,45,24
5,113,22,32,45,24
5,114,22,31,45,24
5,115,22,30,45,24
5,116,22,31,45,24
5,117,22,30,45,24
5,118,22,29,45,24
5,119,22,30,45,24
5,120,22,30,45,24
5,121,22,29,45,24
5,122,22,29,45,24
5,123,22,30,45,24
5,124,22,30,45,24
5,125,22,30,45,24
5,126,22,29,45,24
5,127,22,30,45,24
5,128,22,29,45,24
5,129,22,29,45,24
5,130,22,30,45,24
5,131,22,30,45,24
5,132,22,29,45,24
5,133,22,29,45,24
5,134,22,29,45,24
5,135,22,29,46,24
5,136,22,30,45,24
5,137,22,29,46,24
5,138,22,29,45,24
5,139,22,29,46,24
5,140,22,29,46,24
5,141,22,29,45,24
5,142,22,30,45,24
5,143,22,30,45,24
5,144,22,29,45,24
5,145,22,29,45,24
5,146,22,31,45,24
5,147,22,31,45,24
5,148,22,30,45,24
5,149,22,31,45,24
5,150,22,30,45,24
5,151,22,30,45,24
5,152,22,29,45,24
5,153,22,29,46,24
5,154,21,28,45,24
5,155,22,28,46,24
5,156,22,29,46,24
5,157,22,28,46,24
5,158,22,27,45,24
5,159,22,27,46,24
5,160,22,27,46,24
5,161,22,27,45,24
5,162,22,28,46,24
5,163,22,27,45,24
5,164,22,28,45,24
5,165,22,28,45,24
5,166,22,27,45,24
5,167,22,28,46,24
5,168,22,28,46,24
5,169,22,28,45,24
5,170,22,28,45,24
5,171,22,29,46,24
5,172,22,28,45,24
5,173,22,28,45,24
5,174,22,28,45,24
5,175,22,27,45,24
5,176,22,27,46,24
